kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_rep_c4794	Proline--tRNA ligase OS=Chlorobium chlorochromatii (strain CaD3) OX=340177 GN=proS PE=3 SV=1 E(blastx)=9e-10
kb8_rep_c29431	Hippocalcin-like protein 1 OS=Pongo abelii OX=9601 GN=HPCAL1 PE=2 SV=3 E(blastx)=5e-09
kb8_s68796	Cytochrome b6-f complex subunit 4 OS=Tupiella akineta OX=160070 GN=petD PE=3 SV=1 E(blastx)=4e-05
kb8_c37251	Fibrocystin-L OS=Homo sapiens OX=9606 GN=PKHD1L1 PE=2 SV=2 E(blastx)=4e-09
kb8_c37505	Sex-lethal homolog OS=Chrysomya rufifacies OX=45450 GN=SXL PE=2 SV=2 E(blastx)=1e-05
kb8_rep_c240	Anoctamin-10 OS=Danio rerio OX=7955 GN=ano10 PE=2 SV=1 E(blastx)=1e-48
kb8_rep_c58561	Heat shock protein 90 OS=Eimeria tenella OX=5802 GN=HSP90 PE=2 SV=1 E(blastx)=1e-106
kb8_s57006	Acyl-CoA wax alcohol acyltransferase 2 OS=Homo sapiens OX=9606 GN=AWAT2 PE=1 SV=1 E(blastx)=2e-09
kb8_c40958	Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3 E(blastx)=1e-13
kb8_rep_c781	Flagellar radial spoke protein 4 OS=Chlamydomonas reinhardtii OX=3055 GN=RSP4 PE=3 SV=1 E(blastx)=1e-36
kb8_s71461	Galactocerebrosidase OS=Canis lupus familiaris OX=9615 GN=GALC PE=1 SV=1 E(blastx)=1e-07
kb8_c7217	Potassium voltage-gated channel subfamily C member 2 OS=Mus musculus OX=10090 GN=Kcnc2 PE=1 SV=1 E(blastx)=2e-12
kb8_rep_c2600	Photosystem I P700 chlorophyll a apoprotein A2 OS=Heterocapsa triquetra OX=66468 GN=psaB PE=3 SV=1 E(blastx)=1e-67
kb8_rep_c17841	Photosystem I reaction center subunit XI OS=Cyanidioschyzon merolae (strain 10D) OX=280699 GN=psaL PE=1 SV=1 E(blastx)=7e-20
kb8_s69176	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 homolog OS=Caenorhabditis elegans OX=6239 GN=smrc-1 PE=3 SV=1 E(blastx)=2e-36
kb8_rep_c6294	Polyphosphoinositide phosphatase OS=Mus musculus OX=10090 GN=Fig4 PE=1 SV=1 E(blastx)=6e-96
kb8_rep_c23141	Rhamnosyl O-methyltransferase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv2959c PE=1 SV=1 E(blastx)=9e-12
kb8_rep_c783	GABA transporter 1 OS=Arabidopsis thaliana OX=3702 GN=GAT1 PE=1 SV=1 E(blastx)=1e-29
kb8_rep_c1011	Hypoxanthine-guanine phosphoribosyltransferase OS=Aquifex aeolicus (strain VF5) OX=224324 GN=hpt PE=3 SV=1 E(blastx)=4e-17
kb8_c42652	Replication protein A 70 kDa DNA-binding subunit OS=Danio rerio OX=7955 GN=rpa1 PE=1 SV=1 E(blastx)=5e-06
kb8_s60801	Tubulin beta-1 chain OS=Cyanophora paradoxa OX=2762 GN=TUBB1 PE=2 SV=1 E(blastx)=2e-53
kb8_s54642	E3 ubiquitin-protein ligase RNF103 OS=Mus musculus OX=10090 GN=Rnf103 PE=2 SV=2 E(blastx)=1e-09
kb8_rep_c21164	Ribulose bisphosphate carboxylase, chloroplastic OS=Heterocapsa triquetra OX=66468 GN=rbcL PE=2 SV=1 E(blastx)=6e-35
kb8_rep_c15616	Fumarate reductase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=osm1 PE=3 SV=1 E(blastx)=1e-85
kb8_s58193	Fructose-bisphosphate aldolase OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) OX=192222 GN=fba PE=1 SV=1 E(blastx)=2e-34
kb8_c33830	Probable E3 ubiquitin-protein ligase HERC2 OS=Drosophila melanogaster OX=7227 GN=HERC2 PE=1 SV=3 E(blastx)=8e-08
kb8_c22719	DUF21 domain-containing protein At4g33700 OS=Arabidopsis thaliana OX=3702 GN=CBSDUF6 PE=1 SV=1 E(blastx)=2e-14
kb8_c16145	Carnosine synthase 1 OS=Gallus gallus OX=9031 GN=CARNS1 PE=1 SV=1 E(blastx)=1e-27
kb8_rep_c664	Polycystin-2 OS=Bos taurus OX=9913 GN=PKD2 PE=2 SV=1 E(blastx)=4e-08
kb8_c24924	Transcription intermediary factor 1-beta OS=Mus musculus OX=10090 GN=Trim28 PE=1 SV=3 E(blastx)=1e-08
kb8_rep_c17164	UPF0587 protein YCR090C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCR090C PE=1 SV=1 E(blastx)=5e-07
kb8_c30015	Thioredoxin OS=Macaca mulatta OX=9544 GN=TXN PE=3 SV=2 E(blastx)=6e-18
kb8_c41224	Proline--tRNA ligase OS=Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167) OX=397948 GN=proS PE=3 SV=1 E(blastx)=1e-07
kb8_c36771	Leucine-rich repeat LGI family member 2 OS=Mus musculus OX=10090 GN=Lgi2 PE=2 SV=1 E(blastx)=2e-08
kb8_rep_c4485	Organic cation/carnitine transporter 7 OS=Arabidopsis thaliana OX=3702 GN=OCT7 PE=2 SV=1 E(blastx)=1e-09
kb8_s60164	Elongation factor 3B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEF3 PE=1 SV=2 E(blastx)=2e-22
kb8_rep_c51649	Glyceraldehyde-3-phosphate dehydrogenase, chloroplastic OS=Guillardia theta OX=55529 GN=GAPC1 PE=2 SV=1 E(blastx)=2e-149
kb8_s64937	Atlastin-1 OS=Mus musculus OX=10090 GN=Atl1 PE=1 SV=1 E(blastx)=3e-21
kb8_rep_c7348	Exoglucanase 3 OS=Agaricus bisporus OX=5341 GN=cel3 PE=1 SV=1 E(blastx)=1e-69
kb8_c26072	BTB and MATH domain-containing protein 40 OS=Caenorhabditis elegans OX=6239 GN=bath-40 PE=1 SV=1 E(blastx)=1e-09
kb8_rep_c6497	Selenoprotein W OS=Danio rerio OX=7955 GN=selenow PE=3 SV=3 E(blastx)=4e-06
kb8_rep_c30712	14 kDa phosphohistidine phosphatase OS=Sus scrofa OX=9823 GN=PHPT1 PE=1 SV=2 E(blastx)=9e-19
kb8_rep_c12683	Transmembrane emp24 domain-containing protein eca OS=Drosophila erecta OX=7220 GN=eca PE=3 SV=1 E(blastx)=3e-22
kb8_s65472	EEF1A lysine methyltransferase 4 OS=Mus musculus OX=10090 GN=Eef1akmt4 PE=2 SV=1 E(blastx)=1e-13
kb8_rep_c43376	Vacuolar protein sorting-associated protein 11 homolog OS=Dictyostelium discoideum OX=44689 GN=vps11 PE=3 SV=1 E(blastx)=5e-12
kb8_rep_c19714	Nitrate reductase [NADH] OS=Cucurbita maxima OX=3661 PE=2 SV=1 E(blastx)=2e-180
kb8_rep_c28902	Spondin-1 OS=Gallus gallus OX=9031 GN=SPON1 PE=2 SV=1 E(blastx)=5e-17
kb8_c30034	Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2 E(blastx)=7e-12
kb8_c46589	Zinc finger CCCH domain-containing protein 27 OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0394300 PE=2 SV=2 E(blastx)=2e-05
kb8_rep_c5973	Putative ankyrin repeat protein MM_0045 OS=Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) OX=192952 GN=MM_0045 PE=4 SV=1 E(blastx)=8e-41
kb8_c28984	Solanesyl-diphosphate synthase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=SPS2 PE=1 SV=2 E(blastx)=7e-61
kb8_rep_c2417	Protein FAM50A OS=Mus musculus OX=10090 GN=Fam50a PE=1 SV=1 E(blastx)=4e-67
kb8_rep_c33801	Syncephapepsin OS=Syncephalastrum racemosum OX=13706 GN=SPSR PE=1 SV=1 E(blastx)=1e-10
kb8_rep_c3633	Peroxiredoxin-5, mitochondrial OS=Papio hamadryas OX=9557 GN=PRDX5 PE=2 SV=1 E(blastx)=1e-27
kb8_s63500	Ribulose bisphosphate carboxylase (Fragment) OS=Symbiodinium sp. OX=2950 GN=rbcL PE=1 SV=1 E(blastx)=6e-82
kb8_rep_c32355	Calcium-binding allergen Ole e 8 OS=Olea europaea OX=4146 PE=1 SV=1 E(blastx)=4e-07
kb8_rep_c1090	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 OS=Homo sapiens OX=9606 GN=BTBD11 PE=2 SV=3 E(blastx)=4e-07
kb8_rep_c28213	Elongation factor 3 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=CEF3 PE=1 SV=3 E(blastx)=3e-50
kb8_rep_c19052	Glucose-6-phosphate 1-dehydrogenase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=gsdA PE=3 SV=2 E(blastx)=9e-116
kb8_rep_c4701	Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens OX=9606 GN=GLIPR2 PE=1 SV=3 E(blastx)=5e-22
kb8_rep_c15101	[Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PDK PE=1 SV=1 E(blastx)=1e-70
kb8_rep_c26646	Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic OS=Oryza sativa subsp. indica OX=39946 GN=OsI_21320 PE=3 SV=1 E(blastx)=5e-94
kb8_c48832	Creatine kinase M-type OS=Tetronarce californica OX=7787 PE=1 SV=1 E(blastx)=6e-25
kb8_s57687	Protein sum2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sum2 PE=1 SV=1 E(blastx)=1e-06
kb8_rep_c1299	Dihydroorotase OS=Aromatoleum aromaticum (strain EbN1) OX=76114 GN=pyrC PE=3 SV=1 E(blastx)=8e-134
kb8_rep_c13556	Oligopeptidase A OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=prlC PE=1 SV=1 E(blastx)=1e-23
kb8_rep_c10332	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Rattus norvegicus OX=10116 GN=Alkbh3 PE=2 SV=1 E(blastx)=2e-10
kb8_c24306	Integral membrane protein GPR155 OS=Homo sapiens OX=9606 GN=GPR155 PE=2 SV=2 E(blastx)=6e-13
kb8_c8527	Sodium channel protein type 4 subunit alpha B OS=Tetraodon nigroviridis OX=99883 GN=scn4ab PE=3 SV=1 E(blastx)=5e-08
kb8_rep_c5351	S-phase kinase-associated protein 1 homolog OS=Tetrahymena thermophila (strain SB210) OX=312017 GN=SKP1 PE=2 SV=1 E(blastx)=8e-18
kb8_rep_c4720	Potassium voltage-gated channel subfamily D member 2 OS=Oryctolagus cuniculus OX=9986 GN=KCND2 PE=2 SV=1 E(blastx)=5e-09
kb8_c27156	Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1 E(blastx)=9e-52
kb8_c15245	Kelch-like protein 8 OS=Homo sapiens OX=9606 GN=KLHL8 PE=1 SV=4 E(blastx)=4e-19
kb8_rep_c4390	Squalene synthase OS=Bos taurus OX=9913 GN=FDFT1 PE=2 SV=1 E(blastx)=6e-74
kb8_c27541	Palmitoyltransferase ZDHHC17 OS=Homo sapiens OX=9606 GN=ZDHHC17 PE=1 SV=2 E(blastx)=2e-08
kb8_c47094	tRNA(Ile)-lysidine synthase OS=Mycoplasma mycoides subsp. mycoides SC (strain PG1) OX=272632 GN=tilS PE=3 SV=1 E(blastx)=5e-12
kb8_c29996	Pepsin A OS=Gallus gallus OX=9031 GN=PGA PE=1 SV=1 E(blastx)=6e-28
kb8_s64514	60S ribosomal protein L18a-1 OS=Arabidopsis thaliana OX=3702 GN=RPL18AA PE=2 SV=1 E(blastx)=2e-33
kb8_c15179	Putative esophageal gland cell secretory protein 6 OS=Heterodera glycines OX=51029 GN=HSP6 PE=2 SV=1 E(blastx)=2e-07
kb8_s59825	Calcium-dependent protein kinase 29 OS=Arabidopsis thaliana OX=3702 GN=CPK29 PE=2 SV=2 E(blastx)=5e-12
kb8_rep_c51759	High affinity nitrate transporter 2.5 OS=Arabidopsis thaliana OX=3702 GN=NRT2.5 PE=1 SV=1 E(blastx)=1e-35
kb8_rep_c27415	Pentatricopeptide repeat-containing protein At2g15630, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g15630 PE=3 SV=1 E(blastx)=4e-29
kb8_rep_c1243	Ribonucleoside-diphosphate reductase small chain B OS=Arabidopsis thaliana OX=3702 GN=RNR2B PE=2 SV=1 E(blastx)=5e-166
kb8_c15695	Mitochondrial uncoupling protein 1 OS=Arabidopsis thaliana OX=3702 GN=PUMP1 PE=1 SV=1 E(blastx)=2e-19
kb8_c14546	Potassium voltage-gated channel subfamily KQT member 5 OS=Homo sapiens OX=9606 GN=KCNQ5 PE=1 SV=3 E(blastx)=3e-21
kb8_c14438	Tubulin polyglutamylase TTLL5 OS=Mus musculus OX=10090 GN=Ttll5 PE=1 SV=3 E(blastx)=3e-43
kb8_rep_c35566	Chaperone protein DnaJ OS=Gluconacetobacter diazotrophicus (strain ATCC 49037 / DSM 5601 / CCUG 37298 / CIP 103539 / LMG 7603 / PAl5) OX=272568 GN=dnaJ PE=3 SV=1 E(blastx)=2e-05
kb8_c18045	Leucine-rich repeat-containing protein 46 OS=Macaca fascicularis OX=9541 GN=LRRC46 PE=2 SV=1 E(blastx)=1e-15
kb8_rep_c21283	Aliphatic sulfonates import ATP-binding protein SsuB OS=Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4) OX=264203 GN=ssuB PE=3 SV=1 E(blastx)=3e-11
kb8_c19267	Chaperone protein ClpC, chloroplastic OS=Pisum sativum OX=3888 PE=2 SV=1 E(blastx)=6e-137
kb8_s71495	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Homo sapiens OX=9606 GN=DUS1L PE=1 SV=1 E(blastx)=5e-07
kb8_c23627	Betaine aldehyde dehydrogenase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=BADH1 PE=1 SV=1 E(blastx)=1e-86
kb8_rep_c4377	Ras-related GTP-binding protein A OS=Rattus norvegicus OX=10116 GN=Rraga PE=1 SV=1 E(blastx)=1e-104
kb8_c34340	Tetracycline resistance protein, class C OS=Escherichia coli OX=562 GN=tetA PE=1 SV=1 E(blastx)=5e-10
kb8_rep_c14123	60S ribosomal protein L13a OS=Cyanophora paradoxa OX=2762 PE=2 SV=1 E(blastx)=9e-79
kb8_c28139	Aminopyrimidine aminohydrolase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=tenA PE=1 SV=1 E(blastx)=1e-12
kb8_c10739	Adenylate cyclase type 3 OS=Rattus norvegicus OX=10116 GN=Adcy3 PE=1 SV=1 E(blastx)=4e-26
kb8_c10233	Dimethylglycine dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dmgdh PE=1 SV=1 E(blastx)=2e-149
kb8_c6950	cGMP-dependent protein kinase, isozyme 2 forms cD5/T2 OS=Drosophila melanogaster OX=7227 GN=for PE=2 SV=3 E(blastx)=1e-59
kb8_rep_c4503	U5 small nuclear ribonucleoprotein 40 kDa protein OS=Bos taurus OX=9913 GN=SNRNP40 PE=2 SV=1 E(blastx)=1e-120
kb8_rep_c1343	Serine/threonine-protein phosphatase PP1-beta OS=Caenorhabditis briggsae OX=6238 GN=gsp-2 PE=3 SV=1 E(blastx)=1e-165
kb8_rep_c28403	Putative protein MSS51 homolog, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mss51 PE=4 SV=1 E(blastx)=7e-05
kb8_rep_c11152	Polypeptide N-acetylgalactosaminyltransferase 14 OS=Homo sapiens OX=9606 GN=GALNT14 PE=1 SV=1 E(blastx)=3e-65
kb8_s69993	THO complex subunit 2 OS=Arabidopsis thaliana OX=3702 GN=THO2 PE=1 SV=1 E(blastx)=7e-05
kb8_rep_c24195	Monocarboxylate transporter 9 OS=Homo sapiens OX=9606 GN=SLC16A9 PE=1 SV=1 E(blastx)=2e-07
kb8_s60570	Peptidyl-prolyl cis-trans isomerase 1 OS=Glycine max OX=3847 GN=Cyp1 PE=2 SV=1 E(blastx)=8e-50
kb8_rep_c28184	40S ribosomal protein S8 OS=Oryza sativa subsp. japonica OX=39947 GN=RPS8 PE=2 SV=2 E(blastx)=2e-54
kb8_rep_c30214	Cytochrome c-550 OS=Phaeodactylum tricornutum (strain CCAP 1055/1) OX=556484 GN=psbV PE=3 SV=1 E(blastx)=1e-53
kb8_rep_c13191	Outer dynein arm protein 1 OS=Chlamydomonas reinhardtii OX=3055 GN=ODA1 PE=1 SV=1 E(blastx)=3e-11
kb8_rep_c474	Pumilio homolog 5 OS=Arabidopsis thaliana OX=3702 GN=APUM5 PE=1 SV=2 E(blastx)=1e-13
kb8_c32790	NAD-capped RNA hydrolase NUDT12 OS=Macaca fascicularis OX=9541 GN=NUDT12 PE=2 SV=1 E(blastx)=8e-25
kb8_rep_c12054	Lon protease 2 OS=Myxococcus xanthus OX=34 GN=lon2 PE=1 SV=3 E(blastx)=4e-129
kb8_c31375	Phospholipid-transporting ATPase IC OS=Homo sapiens OX=9606 GN=ATP8B1 PE=1 SV=3 E(blastx)=1e-09
kb8_c6758	Probable serine/threonine-protein kinase PkwA OS=Thermomonospora curvata OX=2020 GN=pkwA PE=1 SV=1 E(blastx)=8e-05
kb8_rep_c22922	V-type proton ATPase catalytic subunit A OS=Plasmodium falciparum OX=5833 GN=vapA PE=3 SV=1 E(blastx)=8e-27
kb8_rep_c3122	Protein SCO1 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=SCO1 PE=1 SV=1 E(blastx)=8e-59
kb8_rep_c26445	Zinc finger protein 729 OS=Homo sapiens OX=9606 GN=ZNF729 PE=2 SV=4 E(blastx)=2e-10
kb8_s70355	Glutathionyl-hydroquinone reductase YqjG OS=Escherichia coli (strain K12) OX=83333 GN=yqjG PE=1 SV=1 E(blastx)=1e-12
kb8_c15264	Mitochondrial substrate carrier family protein H OS=Dictyostelium discoideum OX=44689 GN=mcfH PE=3 SV=1 E(blastx)=6e-07
kb8_c28559	DNA-binding protein RFXANK OS=Homo sapiens OX=9606 GN=RFXANK PE=1 SV=2 E(blastx)=9e-05
kb8_c26486	Probable geranylgeranyl transferase type-2 subunit beta OS=Dictyostelium discoideum OX=44689 GN=rabggtb PE=3 SV=1 E(blastx)=2e-22
kb8_c20820	RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2 E(blastx)=1e-14
kb8_c14723	Peptide methionine sulfoxide reductase MsrA 2 OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=msrA2 PE=3 SV=1 E(blastx)=4e-53
kb8_rep_c279	Archaerhodopsin-3 OS=Halorubrum sodomense OX=35743 GN=aop3 PE=1 SV=1 E(blastx)=7e-18
kb8_rep_c32425	Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CPK2 PE=2 SV=3 E(blastx)=9e-56
kb8_rep_c6094	Sodium channel protein type 11 subunit alpha OS=Mus musculus OX=10090 GN=Scn11a PE=2 SV=2 E(blastx)=7e-10
kb8_rep_c41060	NAD-dependent protein deacetylase OS=Treponema denticola (strain ATCC 35405 / CIP 103919 / DSM 14222) OX=243275 GN=cobB PE=3 SV=1 E(blastx)=8e-14
kb8_s55700	Sodium/pyruvate cotransporter BASS2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BASS2 PE=1 SV=1 E(blastx)=3e-20
kb8_rep_c2517	UBX domain-containing protein 1-A OS=Xenopus laevis OX=8355 GN=ubxn1-a PE=2 SV=1 E(blastx)=1e-06
kb8_c15393	GPN-loop GTPase 2 OS=Sus scrofa OX=9823 GN=GPN2 PE=2 SV=1 E(blastx)=5e-86
kb8_rep_c11005	Tectonic-1 OS=Homo sapiens OX=9606 GN=TCTN1 PE=2 SV=2 E(blastx)=5e-24
kb8_c23695	Inner membrane transport protein YdhC OS=Escherichia coli (strain K12) OX=83333 GN=ydhC PE=1 SV=3 E(blastx)=2e-14
kb8_c14431	Photosystem I P700 chlorophyll a apoprotein A2 OS=Heterocapsa triquetra OX=66468 GN=psaB PE=3 SV=1 E(blastx)=4e-34
kb8_s65021	Serine/threonine-protein phosphatase T OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPT1 PE=1 SV=1 E(blastx)=2e-11
kb8_c10478	Hsp70-Hsp90 organizing protein 2 OS=Arabidopsis thaliana OX=3702 GN=HOP2 PE=1 SV=1 E(blastx)=6e-19
kb8_c7869	Enoyl-CoA hydratase ACTT6 OS=Alternaria alternata OX=5599 GN=ACTT6 PE=3 SV=1 E(blastx)=7e-19
kb8_c45587	Calcium-dependent protein kinase 6 OS=Oryza sativa subsp. japonica OX=39947 GN=CPK6 PE=2 SV=1 E(blastx)=6e-05
kb8_c13828	Signal recognition particle subunit SRP68 OS=Drosophila melanogaster OX=7227 GN=Srp68 PE=2 SV=1 E(blastx)=3e-24
kb8_c24457	Zinc finger CCCH domain-containing protein 37 OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0525900 PE=2 SV=1 E(blastx)=7e-05
kb8_rep_c33075	Polyubiquitin (Fragment) OS=Xenopus laevis OX=8355 PE=1 SV=2 E(blastx)=5e-45
kb8_s63332	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Rattus norvegicus OX=10116 GN=Sdhb PE=2 SV=2 E(blastx)=6e-17
kb8_c39325	Protein unc-50 homolog OS=Dictyostelium discoideum OX=44689 GN=DDB_G0292320 PE=3 SV=1 E(blastx)=3e-30
kb8_c7264	Gamma-aminobutyric acid type B receptor subunit 1 OS=Rattus norvegicus OX=10116 GN=Gabbr1 PE=1 SV=1 E(blastx)=1e-05
kb8_rep_c63042	Ammonium transporter OS=Bacillus subtilis (strain 168) OX=224308 GN=nrgA PE=1 SV=1 E(blastx)=6e-22
kb8_rep_c2242	Probable peptide/nitrate transporter At3g43790 OS=Arabidopsis thaliana OX=3702 GN=ZIFL2 PE=2 SV=2 E(blastx)=3e-32
kb8_s61188	Putative serine carboxypeptidase-like 30 OS=Arabidopsis thaliana OX=3702 GN=SCPL30 PE=2 SV=2 E(blastx)=2e-19
kb8_c16803	Glutamate-rich WD repeat-containing protein 1 OS=Dictyostelium discoideum OX=44689 GN=grwd1 PE=3 SV=1 E(blastx)=2e-83
kb8_s69578	Actin (Fragment) OS=Spodoptera littoralis OX=7109 PE=2 SV=1 E(blastx)=9e-46
kb8_c20449	N(6)-adenine-specific methyltransferase METTL4 OS=Homo sapiens OX=9606 GN=METTL4 PE=1 SV=3 E(blastx)=1e-35
kb8_s64611	Methionine aminopeptidase 2B OS=Arabidopsis thaliana OX=3702 GN=MAP2B PE=2 SV=2 E(blastx)=2e-21
kb8_c14458	Sperm motility kinase 2A OS=Mus musculus OX=10090 GN=Smok2a PE=2 SV=1 E(blastx)=3e-12
kb8_rep_c38442	Putative UDP-glucuronosyltransferase ugt-48 OS=Caenorhabditis elegans OX=6239 GN=ugt-48 PE=1 SV=3 E(blastx)=3e-10
kb8_c29134	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2 E(blastx)=2e-47
kb8_rep_c11714	Proline/betaine transporter OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=proP PE=3 SV=2 E(blastx)=6e-28
kb8_rep_c51972	Adenine/guanine permease AZG1 OS=Arabidopsis thaliana OX=3702 GN=AZG1 PE=2 SV=1 E(blastx)=1e-36
kb8_c19688	Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3 E(blastx)=6e-27
kb8_rep_c13424	Ca(2+)/H(+) antiporter OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1336 PE=1 SV=1 E(blastx)=8e-72
kb8_rep_c66027	Peridinin-chlorophyll a-binding protein, chloroplastic OS=Symbiodinium sp. OX=2950 PE=1 SV=1 E(blastx)=2e-22
kb8_c15952	Kinesin-like protein KIF13A OS=Homo sapiens OX=9606 GN=KIF13A PE=1 SV=2 E(blastx)=3e-79
kb8_rep_c51509	14-3-3 family protein artA OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=artA PE=3 SV=1 E(blastx)=1e-106
kb8_rep_c10564	Arylsulfatase B OS=Rattus norvegicus OX=10116 GN=Arsb PE=2 SV=2 E(blastx)=6e-38
kb8_c25338	Ankyrin repeat domain-containing protein 50 OS=Homo sapiens OX=9606 GN=ANKRD50 PE=1 SV=4 E(blastx)=2e-28
kb8_s52170	Enolase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ENO1 PE=1 SV=1 E(blastx)=7e-31
kb8_c50808	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Gallus gallus OX=9031 GN=HIBCH PE=2 SV=1 E(blastx)=9e-18
kb8_rep_c50099	cGMP-specific 3',5'-cyclic phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Pde5a PE=2 SV=1 E(blastx)=2e-14
kb8_c13644	Probable cysteine protease RDL4 OS=Arabidopsis thaliana OX=3702 GN=RDL4 PE=2 SV=1 E(blastx)=2e-48
kb8_rep_c7845	SEC14-like protein 1 OS=Mus musculus OX=10090 GN=Sec14l1 PE=1 SV=1 E(blastx)=4e-07
kb8_c25848	ABC transporter D family member 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABCC2 PE=1 SV=1 E(blastx)=2e-33
kb8_c30525	Multidrug and toxin extrusion protein 2 OS=Oryctolagus cuniculus OX=9986 GN=SLC47A2 PE=1 SV=1 E(blastx)=3e-21
kb8_rep_c30374	ATP-dependent zinc metalloprotease FTSH, chloroplastic (Fragment) OS=Capsicum annuum OX=4072 GN=FTSH PE=2 SV=1 E(blastx)=5e-73
kb8_rep_c26096	Poly [ADP-ribose] polymerase tankyrase-1 OS=Homo sapiens OX=9606 GN=TNKS PE=1 SV=2 E(blastx)=2e-08
kb8_rep_c3249	UDP-glucose 4-epimerase OS=Bacillus subtilis (strain 168) OX=224308 GN=galE PE=3 SV=1 E(blastx)=1e-141
kb8_c30469	Phosphoribosylformylglycinamidine synthase OS=Dictyostelium discoideum OX=44689 GN=purL PE=1 SV=1 E(blastx)=8e-33
kb8_c23232	Probable protein S-acyltransferase 5 OS=Arabidopsis thaliana OX=3702 GN=PAT05 PE=1 SV=2 E(blastx)=1e-30
kb8_s63318	ABC transporter G family member 7 OS=Arabidopsis thaliana OX=3702 GN=ABCG7 PE=2 SV=1 E(blastx)=6e-12
kb8_c17151	E3 ubiquitin-protein ligase TRIM71 OS=Xenopus tropicalis OX=8364 GN=trim71 PE=3 SV=1 E(blastx)=4e-11
kb8_rep_c40515	Octopine dehydrogenase OS=Mizuhopecten yessoensis OX=6573 GN=odh PE=2 SV=1 E(blastx)=1e-29
kb8_rep_c7511	Sodium channel protein type 10 subunit alpha OS=Rattus norvegicus OX=10116 GN=Scn10a PE=1 SV=1 E(blastx)=2e-13
